,algorithm,type,size,md_time,,
0,Quick Sort,Elementos Repetidos,1000,0.001894832,,
1,Quick Sort,Elementos Repetidos,101000,0.383972168,,
2,Quick Sort,Elementos Repetidos,201000,0.810533595,,
3,Quick Sort,Elementos Repetidos,301000,1.228014946,,
4,Quick Sort,Elementos Repetidos,401000,1.79580636,,
5,Quick Sort,Elementos Repetidos,501000,2.219262123,,
6,Quick Sort,Elementos Repetidos,601000,2.620290375,,
7,Quick Sort,Elementos Repetidos,701000,3.156160474,,
8,Quick Sort,Elementos Repetidos,801000,3.697116876,,
9,Quick Sort,Elementos Repetidos,901000,4.157084131,,
10,Quick Sort,Elementos Repetidos,1001000,4.58114717,,
11,Improved Quick Sort,Elementos Repetidos,1000,9.97E-05,,
12,Improved Quick Sort,Elementos Repetidos,101000,0.024435472,,
13,Improved Quick Sort,Elementos Repetidos,201000,0.04188323,,
14,Improved Quick Sort,Elementos Repetidos,301000,0.07239635,,
15,Improved Quick Sort,Elementos Repetidos,401000,0.090259671,,
16,Improved Quick Sort,Elementos Repetidos,501000,0.110699987,,
17,Improved Quick Sort,Elementos Repetidos,601000,0.138129234,,
18,Improved Quick Sort,Elementos Repetidos,701000,0.159267974,,
19,Improved Quick Sort,Elementos Repetidos,801000,0.1859056,,
20,Improved Quick Sort,Elementos Repetidos,901000,0.205747581,,
21,Improved Quick Sort,Elementos Repetidos,1001000,0.231381559,,
22,Improved Quick Sort,Decrescente,1000,0.003590155,,
23,Improved Quick Sort,Decrescente,101000,0.458671474,,
24,Improved Quick Sort,Decrescente,201000,0.949763989,,
25,Improved Quick Sort,Decrescente,301000,1.566109872,,
26,Improved Quick Sort,Decrescente,401000,2.40227282,,
27,Improved Quick Sort,Decrescente,501000,2.533230019,,
28,Improved Quick Sort,Decrescente,601000,3.18737359,,
29,Improved Quick Sort,Decrescente,701000,3.765337801,,
30,Improved Quick Sort,Decrescente,801000,4.237069035,,
31,Improved Quick Sort,Decrescente,901000,4.639198184,,
32,Improved Quick Sort,Decrescente,1001000,5.018787313,,
33,Quick Sort,Decrescente,1000,StackOverFlow,,
,,,,,,
Tentativa do QuickSort com listas decrescentes menores ,,,,,,
Resultado: StackOverFlow apartir de 1000 elementos,,,,,,
,Algoritmo,Tipo,Tamanho,Comparações,Trocas,Tempo
0,Quick Sort,Decrescente,10,9,45,0
1,Quick Sort,Decrescente,20,19,190,0
2,Quick Sort,Decrescente,30,29,435,9.97E-05
3,Quick Sort,Decrescente,40,39,780,0
4,Quick Sort,Decrescente,50,49,1225,1.00E-04
5,Quick Sort,Decrescente,60,59,1770,0.000202107
6,Quick Sort,Decrescente,70,69,2415,0.000401473
7,Quick Sort,Decrescente,80,79,3160,0.000499487
8,Quick Sort,Decrescente,90,89,4005,0.00059557
9,Quick Sort,Decrescente,100,99,4950,0.000698376
10,Quick Sort,Decrescente,110,109,5995,0.000896597
11,Quick Sort,Decrescente,120,119,7140,0.000997353
12,Quick Sort,Decrescente,130,129,8385,0.00119772
13,Quick Sort,Decrescente,140,139,9730,0.001891804
14,Quick Sort,Decrescente,150,149,11175,0.001595998
15,Quick Sort,Decrescente,160,159,12720,0.002193689
16,Quick Sort,Decrescente,170,169,14365,0.003091836
17,Quick Sort,Decrescente,180,179,16110,0.003590345
18,Quick Sort,Decrescente,190,189,17955,0.002393484
19,Quick Sort,Decrescente,200,199,19900,0.00259316
20,Quick Sort,Decrescente,210,209,21945,0.002692604
